0.01396,284.68744,270.00467,270.11434,298.74785,291.18749,301.02161,314.9127,309.15665,301.61385
0.01416,292.97512,263.61511,263.98826,282.10012,285.34895,285.08692,307.31277,296.56527,290.80466
0.01427,254.60561,238.0638,275.35026,287.54633,281.96698,267.62766,301.99326,280.21785,287.15463
0.01438,291.99482,260.66955,254.66196,288.61265,282.32542,276.9475,301.75194,274.86106,290.27484
0.01448,268.02448,247.44326,257.16173,266.37479,266.31422,268.74397,280.39882,276.27887,268.82797
0.01459,251.07569,240.36936,264.73623,291.76372,287.88547,269.13546,287.6171,281.77021,273.31892
0.0147,219.7043,230.62307,258.79907,274.9363,264.03156,259.3071,253.97667,256.35161,249.65639
0.01481,313.19586,239.93524,251.63495,258.45803,248.76137,256.9578,267.36106,256.09301,261.91341
0.01491,222.33831,222.80021,253.07738,270.80543,261.47039,244.81397,242.06799,253.24699,244.10054
0.01503,239.4555,213.04623,251.80502,266.63462,261.36879,277.90003,237.98367,241.40294,215.55883
0.01514,265.21766,221.79055,235.65072,253.97755,236.193,242.38369,249.64476,248.31335,250.59026
0.01525,325.90632,230.49399,253.13047,263.86393,259.11763,242.43929,235.83729,238.8989,238.55384
0.01536,229.35252,208.65368,229.01713,241.26274,241.02997,240.40282,230.5256,232.70721,242.66349
0.01547,274.24502,237.76546,261.40061,278.6596,266.95437,271.52127,272.03789,275.39282,275.12413
0.01559,415.76353,316.68081,336.18633,345.46096,341.28606,334.42125,337.48011,338.53924,347.05059
0.0157,535.91107,260.10293,289.01968,297.83405,289.52623,291.45339,283.58023,288.9522,293.07668
0.01582,339.21648,307.9275,320.54906,336.07468,334.44239,330.64788,333.80505,338.2519,340.89023
0.01594,409.52128,300.86639,312.82832,317.50177,323.08358,322.63035,319.50282,322.87809,325.42889
0.01606,321.44629,306.06124,318.8443,332.23623,328.36498,333.64342,333.99337,337.94261,344.90287
0.01617,780.98198,290.68066,302.50528,305.95819,302.01629,298.64312,302.71113,305.08614,309.02743
0.01629,401.78112,349.62098,350.53891,356.00581,362.46964,366.63025,367.28888,370.06505,369.23161
0.01641,678.71387,334.11855,344.14213,338.44575,338.42344,336.41984,338.03985,343.01741,342.79125
0.01654,430.50763,277.09791,287.80788,294.7359,287.35058,282.40591,289.485,292.33628,289.84404
0.01666,763.97408,327.78085,330.82312,339.49883,327.68263,323.22254,326.40459,328.44227,331.62653
0.01678,404.43063,297.74991,306.23737,308.34497,306.33257,312.74357,312.10382,312.39982,314.77752
0.01691,495.92805,293.27347,301.65983,305.79996,301.89786,300.56545,305.90916,307.21478,306.16866
